rank,internal_name,print_label,mean_abs_shap,mean_shap,share_of_total_abs
1,fe_allergen_panel_count_nonzero,Number of positive allergen tests,0.0990736891339661,-0.0139028637017731,0.1214607443779925
2,"음식/식품 관련 알레르겐
(Egg White, Milk, Soy bean, Maize, Sesame, Crab, Shrimp, Potato, Apple, Cacao, Peach, Mackerel)",Food allergen sensitisation,0.0871771719251998,-0.014249141101321,0.1068760463788243
3,fe_allergen_panel_mean,"Allergen panel, mean",0.0834276546837722,0.0026457671559394,0.1022792744287448
4,fe_allergy_burden,Atopic comorbidity count,0.0637518198459972,0.0005155240703237,0.0781574155725244
5,Total IgE,Total IgE,0.0631773008638698,-0.0050898075149615,0.0774530761677999
6,Scalp eczema,Scalp eczema,0.0548839242084978,-0.0041250842160136,0.0672856976157965
7,fe_prev_treatment_count,Number of prior treatments,0.0457851601525196,-0.0067053318611049,0.0561309433634896
8,ALT,ALT,0.0443560614286962,-0.0031847399889838,0.0543789202350229
9,Albumin,Albumin,0.042367544306157,0.0024393271388492,0.0519410704686192
10,Creatinine,Creatinine,0.0329335236458572,-0.0045974169752581,0.0403753037964207
11,Previous treatment of cyclosporine,Prior ciclosporin,0.0285374298880735,-0.0018342132079742,0.0349858525218867
12,AST,AST,0.025804472783075,-0.0033431830948409,0.0316353463761289
13,Onset age,Age at disease onset,0.02286843998573,-0.0032813217890057,0.0280358768075584
14,fe_hn_easi_ratio,Head-and-neck EASI share,0.0206329207492944,-0.0015269281462836,0.0252952114209932
15,Age,Age,0.0154570869318453,-0.0003067529470206,0.0189498271546004
16,Hx of Other allergies,Other allergy history,0.0148696023875555,2.177334448011173e-05,0.0182295924415928
17,Baseline H&N EASI,Head-and-neck EASI,0.0146109587193455,-0.001357766038179,0.0179125046986809
18,WBC count,Leukocyte count,0.0136149509770941,0.0013186777265873,0.0166914353831282
19,fe_subcomp_max,Worst EASI sign score,0.0109421508497794,-0.0009496765969206,0.013414679507022
20,eGFR,eGFR,0.0107305220172021,-5.394469662191583e-05,0.0131552302449488
21,CRP,CRP,0.008933931721769,-0.0005315337105853,0.0109526757975161
22,Baseline Trunk EASI,Trunk EASI,0.0073690215178462,-0.0008527656233849,0.0090341527273177
23,Hx of Dyslipidemia,Dyslipidaemia history,0.0043795118952865,0.0004717236592508,0.00536912251339
