model_id,print_name,placement,decision_mechanism,auroc,auprc,brier,boundary_auroc,overall_n,overall_n_positive,overall_n_negative,overall_accuracy,overall_balanced_accuracy,overall_sensitivity,overall_specificity,overall_f1,overall_true_positive,overall_true_negative,overall_false_positive,overall_false_negative,boundary_n,boundary_n_positive,boundary_n_negative,boundary_accuracy,boundary_balanced_accuracy,boundary_sensitivity,boundary_specificity,boundary_f1,boundary_true_positive,boundary_true_negative,boundary_false_positive,boundary_false_negative,selected_kernel_counts,patient_average_score_sha256_float64
conventional_logistic_c1,Logistic regression,main,fold-local inner out-of-fold Youden threshold,0.7626780626780627,0.8176890867659261,0.19629810026972871,0.7207207207207207,119,65,54,0.6302521008403361,0.6286324786324786,0.6461538461538462,0.6111111111111112,0.65625,42,33,21,23,76,37,39,0.5921052631578947,0.5921690921690922,0.5945945945945946,0.5897435897435898,0.5866666666666667,22,23,16,15,,9f4a5efd76f2779f62362d0569339edc19f1e59403b7c397d1c7ad548c4a0c05
random_forest,Random forest,main,fold-local inner out-of-fold Youden threshold,0.6581196581196582,0.6844601633296301,0.23410054585910475,0.6327096327096328,119,65,54,0.6218487394957983,0.6193732193732193,0.6461538461538462,0.5925925925925926,0.6511627906976745,42,32,22,23,76,37,39,0.5789473684210527,0.5786555786555787,0.5675675675675675,0.5897435897435898,0.5675675675675675,21,23,16,16,,02379dbcf15e36c4ab65296595c9f39bd77578f6d78f0b853ac94025e82deb3b
rbf_svm,Support vector machine (RBF kernel),main,fold-local inner out-of-fold Youden threshold,0.6854700854700855,0.7141132063191726,0.22561311948124887,0.6292446292446293,119,65,54,0.6134453781512605,0.6195156695156696,0.5538461538461539,0.6851851851851852,0.6101694915254238,36,37,17,29,76,37,39,0.5789473684210527,0.5772695772695773,0.5135135135135135,0.6410256410256411,0.5428571428571428,19,25,14,18,,23b74388670f3d7a3bb22ba4dfc1b0b173a4fed61440112fe41ef9e15908a5ff
lightgbm,LightGBM,main,fold-local inner out-of-fold Youden threshold,0.6247863247863249,0.6402539205860037,0.24050943737806849,0.5835065835065835,119,65,54,0.5714285714285714,0.5732193732193732,0.5538461538461539,0.5925925925925926,0.5853658536585366,36,32,22,29,76,37,39,0.5394736842105263,0.5381150381150381,0.4864864864864865,0.5897435897435898,0.5070422535211268,18,23,16,19,,54d9c6ba5945757ba7e15c1abc690ec09e0f13974ecf8fb76d7b02f0d0ae7901
xgboost,XGBoost,main,fold-local inner out-of-fold Youden threshold,0.5792022792022793,0.5887076960954415,0.24703243350454737,0.5495495495495496,119,65,54,0.5714285714285714,0.5622507122507122,0.6615384615384615,0.46296296296296297,0.6277372262773723,43,25,29,22,76,37,39,0.5131578947368421,0.5159390159390159,0.6216216216216216,0.41025641025641024,0.5542168674698795,23,16,23,14,,315ecccc304283ab6ef2656778b3e3e70ffeda1a201ecaceb263697038204fc9
linear_svm,Linear SVM,supplementary,fold-local inner out-of-fold Youden threshold,0.7507122507122507,0.8116646943539918,0.20156698232498307,0.7027027027027027,119,65,54,0.6470588235294118,0.6487179487179486,0.6307692307692307,0.6666666666666666,0.6612903225806451,41,36,18,24,76,37,39,0.631578947368421,0.6306306306306306,0.5945945945945946,0.6666666666666666,0.6111111111111112,22,26,13,15,,65f92325c6f4e168094578fd96fdd5c671b3802a804cb41a83eef5d202644cab
nested_tuned_multikernel_svm,Nested-tuned multi-kernel SVM,supplementary,fold-local inner out-of-fold Youden threshold,0.7336182336182338,0.7773647558425323,0.22090999079022694,0.6978516978516978,119,65,54,0.6890756302521008,0.6871794871794872,0.7076923076923077,0.6666666666666666,0.7131782945736435,46,36,18,19,76,37,39,0.6710526315789473,0.6711711711711712,0.6756756756756757,0.6666666666666666,0.6666666666666666,25,26,13,12,"{""linear"": 36, ""poly"": 19, ""rbf"": 2, ""sigmoid"": 18}",c0722d1548d61ef1ba5d6ebf081e2785801fe82d7b13f17de35ee340b12f3f70
adaboosted_logistic,AdaBoosted logistic regression,supplementary,fold-local inner out-of-fold Youden threshold,0.7586894586894587,0.8160920154444125,0.20247150149887194,0.7103257103257103,119,65,54,0.6302521008403361,0.6333333333333333,0.6,0.6666666666666666,0.639344262295082,39,36,18,26,76,37,39,0.5657894736842105,0.5644490644490645,0.5135135135135135,0.6153846153846154,0.5352112676056338,19,24,15,18,,775793f95a7d60a55724a6d514b723a647cd8d70268b7af602a088b4da8bcd0a
extremely_randomized_trees,Extremely randomized trees,supplementary,fold-local inner out-of-fold Youden threshold,0.690883190883191,0.6920544510823696,0.2215562654835317,0.6638946638946639,119,65,54,0.5798319327731093,0.5746438746438747,0.6307692307692307,0.5185185185185185,0.6212121212121212,41,28,26,24,76,37,39,0.5526315789473685,0.5537075537075538,0.5945945945945946,0.5128205128205128,0.5641025641025641,22,20,19,15,,e34ad4f728d70c5a10a79caf4108f18dcc583126b567dfaea3bb84560212d83d
gaussian_naive_bayes,Gaussian naive Bayes,supplementary,fold-local inner out-of-fold Youden threshold,0.696011396011396,0.715038448673196,0.22084597514958418,0.6735966735966736,119,65,54,0.6554621848739496,0.6548433048433049,0.6615384615384615,0.6481481481481481,0.6771653543307087,43,35,19,22,76,37,39,0.618421052631579,0.6185031185031185,0.6216216216216216,0.6153846153846154,0.6133333333333333,23,24,15,14,,bffe01ab19a026b5d3c426c0461bf26ad1e3927fa894f73c6a6199e3fd21ccd1
knn,k-nearest neighbours,supplementary,fold-local inner out-of-fold Youden threshold,0.6635327635327636,0.6887498892276337,0.22951264440046276,0.6174636174636174,119,65,54,0.6218487394957983,0.620940170940171,0.6307692307692307,0.6111111111111112,0.6456692913385826,41,33,21,24,76,37,39,0.5789473684210527,0.5786555786555787,0.5675675675675675,0.5897435897435898,0.5675675675675675,21,23,16,16,,c60dc3249ee9b657c9739d1021b8b8ddf8eae7f23711f252fb2eae0882782c54
single_multitask_learner,Single multi-task learner,supplementary,fold-local inner out-of-fold Youden threshold,0.7860398860398861,0.8349267909083558,0.19367552362794807,0.762993762993763,119,65,54,0.7058823529411765,0.7056980056980058,0.7076923076923077,0.7037037037037037,0.7244094488188977,46,38,16,19,76,37,39,0.6578947368421053,0.6583506583506584,0.6756756756756757,0.6410256410256411,0.6578947368421053,25,25,14,12,,150b555c4b51c5a293fe09b83a93824a54d6296a5824fac6c1d7ac6b3180bf29
