Variable,Overall (n = 119),Responder (n = 65),Non-responder (n = 54),p-value
"Height, mean ± SD, cm †",168.0 ± 11.3,167.9 ± 10.6,168.1 ± 12.4,0.943
"Weight, mean ± SD, kg †",69.0 ± 21.1,68.6 ± 19.4,69.5 ± 23.3,0.864
"BMI, mean ± SD, kg/m2 †",25.30 ± 5.57,24.73 ± 4.92,25.98 ± 6.31,0.433
"Residence, n (%)",,,,0.919
Urban,81 (68.1),45 (69.2),36 (66.7),
Rural,38 (31.9),20 (30.8),18 (33.3),
"Onset age category, n (%)",,,,0.949
Very early (0 to <2 y),28 (25.7),15 (23.1),13 (24.1),
Early childhood (2 to <6 y),33 (30.3),17 (26.2),16 (29.6),
Late childhood (6 to <12 y),25 (22.9),14 (21.5),11 (20.4),
Adolescent (12 to <18 y),14 (12.8),8 (12.3),6 (11.1),
Adult (18 to <40 y),9 (8.3),6 (9.2),3 (5.6),
Older adult (≥ 40 y),0 (0.0),0 (0.0),0 (0.0),
"Family history of atopic disorders, n (%)",,,,
Atopic dermatitis,3 (2.5),2 (3.1),1 (1.9),1.000
Allergic rhinitis,3 (2.5),2 (3.1),1 (1.9),1.000
Asthma,1 (0.8),1 (1.5),0 (0.0),1.000
"MAST-based allergen sensitization, n (%) †",,,,
Mite allergens,76 (91.6),36 (92.3),40 (90.9),1.000
House dust/cockroach allergens,71 (85.5),33 (84.6),38 (86.4),1.000
Animal allergens,53 (63.9),24 (61.5),29 (65.9),0.819
Fungal allergens,62 (74.7),30 (76.9),32 (72.7),0.801
Pollen allergens,50 (60.2),20 (51.3),30 (68.2),0.177
Food allergens,50 (60.2),17 (43.6),33 (75.0),0.007*
Venom/latex allergens,11 (13.8),3 (7.9),8 (19.0),0.200
"Maximum sensitization class, mean ± SD †",,,,
Mite allergens,3.81 ± 1.85,3.82 ± 1.83,3.80 ± 1.89,0.978
House dust/cockroach allergens,2.33 ± 1.33,2.38 ± 1.41,2.27 ± 1.26,0.749
Animal allergens,2.59 ± 2.16,2.51 ± 2.23,2.66 ± 2.12,0.872
Fungal allergens,1.88 ± 1.37,1.92 ± 1.40,1.84 ± 1.35,0.940
Pollen allergens,1.65 ± 1.60,1.38 ± 1.55,1.89 ± 1.62,0.175
Food allergens,1.45 ± 1.54,0.92 ± 1.33,1.91 ± 1.58,0.002*
Venom/latex allergens,0.29 ± 0.75,0.29 ± 0.87,0.29 ± 0.64,0.406
"Comorbidities, n (%)",,,,
Diabetes mellitus,1 (0.8),1 (1.5),0 (0.0),1.000
Hypertension,2 (1.7),0 (0.0),2 (3.7),0.396
Dyslipidemia,3 (2.5),0 (0.0),3 (5.6),0.181
Severe skin infection,3 (2.5),1 (1.5),2 (3.7),0.871
Autoimmune disease,5 (4.2),2 (3.1),3 (5.6),0.832
Psychological disorder,3 (2.5),2 (3.1),1 (1.9),1.000
"Clinical features, n (%)",,,,
Atopic hand dermatitis,19 (16.0),12 (18.5),7 (13.0),0.573
Severe head and neck dermatitis,14 (11.8),7 (10.8),7 (13.0),0.780
Scalp dermatitis,49 (41.2),21 (32.3),28 (51.9),0.049*
Genital dermatitis,0 (0.0),0 (0.0),0 (0.0),N/A
"Clinical phenotype, n (%)",,,,0.526
Nummular pattern,2 (1.7),1 (1.5),1 (1.9),
Lichenoid/exudative pattern,112 (94.1),61 (93.8),51 (94.4),
Erythrodermic pattern,2 (1.7),2 (3.1),0 (0.0),
Nodular pattern,3 (2.5),1 (1.5),2 (3.7),
"Baseline EASI severity, n (%)",,,,0.226
Mild (<16),26 (21.8),17 (26.2),9 (16.7),
Moderate (16-23),41 (34.5),24 (36.9),17 (31.5),
Severe (≥ 23),52 (43.7),24 (36.9),28 (51.9),
"Treatment-emergent complications, n (%)",,,,
Conjunctivitis,4 (3.4),2 (3.1),2 (3.7),1.000
Facial erythema,1 (0.8),1 (1.5),0 (0.0),1.000
"Treatment sessions to week 16, mean ± SD",7.61 ± 0.85,7.57 ± 0.97,7.65 ± 0.68,0.603
"Laboratory findings, mean ± SD",,,,
"WBC count, /µL",7814 ± 2077,7704 ± 1903,7946 ± 2281,0.536
"CRP, mg/dL †",0.27 ± 0.56,0.34 ± 0.76,0.20 ± 0.22,0.298
"Albumin, g/dL",4.67 ± 0.27,4.72 ± 0.26,4.62 ± 0.27,0.039*
"AST, IU/L",23.33 ± 8.03,23.77 ± 8.58,22.80 ± 7.34,0.507
"ALT, IU/L",20.98 ± 14.30,19.66 ± 14.32,22.56 ± 14.25,0.274
"Creatinine, mg/dL",0.78 ± 0.17,0.79 ± 0.18,0.76 ± 0.14,0.302
"eGFR, mL/min/1.73 m²",112.1 ± 19.6,108.8 ± 21.0,116.0 ± 17.2,0.047*
